variable,description,start,end,length,decimals,type
V6524,RENDIMENTO BRUTO NOS DEMAIS TRABALHOS EM Nº DE SALÁRIOS MÍNIMOS,238,246,4,5,N
V6525,RENDIMENTO EM TODOS OS TRABALHOS,247,253,7,,N
V6526,RENDIMENTO EM TODOS OS TRABALHOS EM Nº DE SALÁRIOS MÍNIMOS,254,262,4,5,N
V6527,RENDIMENTO MENSAL TOTAL EM JULHO DE 2010,263,269,7,,N
V6528,RENDIMENTO MENSAL TOTAL EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010,270,278,4,5,N
V6529,RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) EM JULHO DE 2010,279,285,7,,N
V6530,RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010,286,295,5,5,N
V6531,RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) PER CAPITA EM JULHO DE 2010,296,303,6,2,N
V6532,RENDIMENTO DOMICILIAR (DOMICÍLIO PARTICULAR) PER CAPITA EM Nº DE SALÁRIOS MÍNIMOS EM JULHO DE 2010,304,312,4,5,N
V0653,"NO TRABALHO PRINCIPAL, QUANTAS HORAS TRABALHAVA HABITUALMENTE POR SEMANA: - Branco - 1 a 140",313,315,3,,N
V0654,"NO PERÍODO DE 02 A 31 DE JULHO DE 2010, TOMOU ALGUMA PROVIDÊNCIA, DE FATO, PARA CONSEGUIR  1- Sim 2- Não Branco",316,316,1,,C
V0655,"SE TIVESSE CONSEGUIDO TRABALHO, ESTARIA DISPONÍVEL PARA ASSUMI-LO NA SEMANA DE 25 A 31 DE JULHO DE 2010? 1- Sim 2- Não Branco",317,317,1,,C
V0656,"EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE APOSENTADORIA OU PENSÃO DE INSTITUTO DE PREVIDÊNCIA OFICIAL (FEDERAL, ESTADUAL OU MUNICIPAL)? 1- Sim 0- Não 9- Ignorado Branco",318,318,1,,C
V0657,"EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE PROGRAMA SOCIAL BOLSA-FAMÍLIA OU PROGRAMA DE ERRADICAÇÃO DO TRABALHO INFANTIL (PETI): 1- Sim 0- Não 9- Ignorado Branco",319,319,1,,C
V0658,"EM JULHO 2010, TINHA RENDIMENTO MENSAL HABITUAL DE OUTROS PROGRAMAS SOCIAIS OU DE TRANSFERÊNCIAS: 1- Sim 0- Não 9- Ignorado Branco",320,320,1,,C
V0659,"EM JULHO DE 2010, TINHA RENDIMENTO MENSAL HABITUAL DE OUTRAS FONTES (JUROS DE POUPANÇA, APLICAÇÕES FINANCEIRAS, ALUGUEL, PENSÃO, APOSENTADORIA DE PREVIDÊNCIA PRIVADA, ETC)? 1- Sim 0- Não 9- Ignorado Branco",321,321,1,,C
V6591,EM JULHO DE 2010 QUAL FOI O VALOR TOTAL DESTE(S) RENDIMENTO(S):,322,327,6,,N
V0660,"EM QUE MUNICÍPIO E UNIDADE DA FEDERAÇÃO OU PAÍS ESTRANGEIRO TRABALHA: 1- No próprio domicílio 2- Apenas neste município, mas não no próprio domicílio 3- Em outro município 4- Em país estrangeiro 5- Em mais de um município ou país Branco",328,328,1,,C
V6602,EM QUE UNIDADE DA FEDERAÇÃO TRABALHAVA - código: - A relação de códigos encontra-se no arquivo: “Migração_UFs_2010 V6222 V6252 V6262 V6362 V6602.xls”,329,335,7,,A
V6604,EM QUE MUNICÍPIO TRABALHAVA - código: - A relação de códigos encontra-se no arquivo: “Migração_Municípios_2010 V6254 V6264 V6364 V6604.xls”,336,342,7,,A
V6606,EM QUE PAÍS ESTRANGEIRO TRABALHAVA - código: - A relação de códigos encontra-se no arquivo: “Migração_Países_2010 V3061 V6224 V6256 V6266 V6366 V6606.xls”,343,349,7,,A
V0661,RETORNA DO TRABALHO PARA CASA DIARIAMENTE: 1- Sim 2- Não Branco,350,350,1,,C
V0662,QUAL É O TEMPO HABITUAL GASTO DE DESLOCAMENTO DE SUA CASA ATÉ O TRABALHO: 1- Até 05 minutos 2- De 06 minutos até meia hora 3- Mais de meia hora até uma hora 4- Mais de uma hora até duas horas 5- Mais de duas horas Branco,351,351,1,,C
V0663,QUANTOS FILHOS E FILHAS NASCIDOS VIVOS TEVE ATÉ 31 DE JULHO DE 2010: 1- Teve filhos nascidos vivos 2- Não teve nenhum filho nascido vivo Branco,352,352,1,,C
V6631,QUANTOS FILHOS NASCIDOS VIVOS TEVE ATÉ 31 DE JULHO DE 2010: (branco; 0 a 31),353,354,2,,N
V6632,QUANTAS FILHAS NASCIDAS VIVAS TEVE ATÉ 31 DE JULHO DE 2010: (branco; 0 a 31),355,356,2,,N
V6633,TOTAL DE FILHOS NASCIDOS VIVOS QUE TEVE ATÉ 31 DE JULHO DE 2010: (branco; 0 a 31),357,358,2,,N
V0664,"DOS FILHOS E FILHAS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010: 1- Filhos vivos 2- Não sabe Branco",359,359,1,,C
V6641,"DOS FILHOS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010: - Branco - 0 a 31",360,361,2,,N
V6642,"DAS FILHAS QUE TEVE, QUANTAS ESTAVAM VIVAS EM 31 DE JULHO DE 2010: - Branco - 0 a 31",362,363,2,,N
V6643,"TOTAL DE FILHOS QUE TEVE, QUANTOS ESTAVAM VIVOS EM 31 DE JULHO DE 2010: - Branco - 0 a 31",364,365,2,,N
V0665,QUAL É O SEXO DO ÚLTIMO FILHO TIDO NASCIDO VIVO ATÉ 31 DE JULHO DE 2010: 1- Masculino 2- Feminino Branco,366,366,1,,C
V6660,IDADE DO ÚLTIMO FILHO TIDO NASCIDO VIVO ATÉ 31 DE JULHO DE 2010: - Branco - 0 a 130,367,369,3,,N
V6664,EXISTÊNCIA DE FILHO TIDO NASCIDO VIVO NO PERÍODO DE REFERÊNCIA DE 12 MESES ANTERIORES A 31/07/2010: 1- Sim 0- Não Branco,370,370,1,,C
V0667,ESTE(A) FILHO(A) ESTAVA VIVO(A) EM 31 DE JULHO DE 2010: 1- Sim 2- Não 9- Não sabe Branco,371,371,1,,C
V0668,QUAL FOI O MÊS E O ANO QUE ESTE(A) FILHO(A) FALECEU: 1- Sabe o mês e ano ou somente o ano 2- Não sabe Branco,372,372,1,,C
V6681,QUAL FOI O MÊS QUE ESTE(A) FILHO(A) FALECEU: - Branco - 1 a 12 - 99 = ignorado,373,374,2,,A
V6682,QUAL FOI O ANO QUE ESTE(A) FILHO(A) FALECEU: - Branco -  - 9999 = ignorado,375,378,4,,A
V0669,QUANTOS FILHOS E FILHAS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010: 1- Teve filho nascido morto 2- Não teve filho nascido morto 3- Não sabe Branco,379,379,1,,C
V6691,QUANTOS FILHOS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010 - Branco - 0 a 31,380,381,2,,N
V6692,QUANTOS FILHAS NASCIDAS MORTAS TEVE ATÉ 31 DE JULHO DE 2010 - Branco - 0 a 31,382,383,2,,N
V6693,QUANTOS FILHOS E FILHAS NASCIDOS MORTOS TEVE ATÉ 31 DE JULHO DE 2010 - Branco - 0 a 31,384,385,2,,N
V6800,TOTAL DE FILHOS TIDOS NASCIDOS VIVOS E NASCIDOS MORTOS: - Branco - 0 a 31,386,387,2,,N
V0670,ASSINALE QUEM PRESTOU AS INFORMAÇÕES DESTA PESSOA 1- A própria pessoa 2- Outro morador 3- Não morador 9- Ignorado,388,388,1,,C
V0671,NÚMERO DE ORDEM DO INFORMANTE (OUTRO MORADOR),389,390,2,,A
V6900,CONDIÇÃO DE ATIVIDADE NA SEMANA DE REFERÊNCIA 1- Economicamente ativas 2- Não economicamente ativas Branco,391,391,1,,C
V6910,CONDIÇÃO DE OCUPAÇÃO NA SEMANA DE REFERÊNCIA 1- Ocupadas 2- Desocupadas Branco,392,392,1,,C
V6920,SITUAÇÃO DE OCUPAÇÃO NA SEMANA DE REFERÊNCIA 1- Ocupadas 2- Não ocupadas Branco,393,393,1,,C
V6930,POSIÇÃO NA OCUPAÇÃO E CATEGORIA DO EMPREGO NO TRABALHO PRINCIPAL 1- Empregados com carteira de trabalho assinada 2- Militares e funcionários públicos estatutários 3- Empregados sem carteira de trabalho assinada 4- Conta própria 5- Empregadores 6- Não remunerados 7- Trabalhadores na produção para o próprio consumo Branco,394,394,1,,C
V6940,SUBGRUPO E CATEGORIA DO EMPREGO NO TRABALHO PRINCIPAL 1- Trabalhadores domésticos com carteira de trabalho assinada 2- Trabalhadores domésticos sem carteira de trabalho assinada 3- Demais empregados com carteira de trabalho assinada 4- Militares e funcionários públicos estatutários 5- Demais empregados sem carteira de trabalho assinada Branco,395,395,1,,C
V6121,Qual é a sua religião ou culto? -,396,398,3,,A
V0604,TEM MÃE VIVA? 1-  2-  3-  4-  9-,399,399,1,,C
V0605,Número de ordem da mãe da pessoa,400,401,2,,A
V5020,"NÚMERO DA FAMÍLIA 01 - Famílias únicas ou conviventes principais: Corresponde à família dos responsáveis pela unidade doméstica. 02 – Família convivente – segunda 03 – Família convivente – terceira 04 – Família convivente – quarta 05 – Família convivente – quinta 06 – Família convivente – sexta 07 – Família convivente – sétima 08 – Família convivente – oitava 09 – Família convivente – nona Branco – para pessoas residentes em domicílios coletivos e/ou em unidades domésticas localizadas em terras indígenas, onde não se fez a identificação de famílias.",402,403,2,,C
V5060,Número de Pessoas na Família,404,405,2,,N
V5070,"Rendimento familiar per capita em julho de 2010 (0 a 999999,99)",406,413,6,2,N
V5080,"Rendimento familiar per capita em nº de salários mínimos em julho de 2010 (0 a 9999,99999)",414,422,4,5,N
V6462,Qual era a ocupação que exercia no trabalho que tinha? - código 2000,423,426,4,,A
V6472,Qual era a atividade principal do empreendimento em que tinha esse trabalho? - código 2000,427,431,5,,A
V5110,CONDIÇÃO DE CONTRIBUIÇÃO PARA INSTITUTO DE PREVIDÊNCIA OFICIAL NO TRABALHO PRINCIPAL Contribuintes Não contribuintes Branco,432,432,1,,C
V5120,CONDIÇÃO DE CONTRIBUIÇÃO PARA INSTITUTO DE PREVIDÊNCIA OFICIAL EM QUALQUER TRABALHO Contribuintes Não contribuintes Branco,433,433,1,,C
V5030,TIPO DE UNIDADE DOMÉSTICA 1 - Unipessoal 2 - Duas pessoas ou mais sem parentesco 3 - Duas pessoas ou mais com parentesco Branco,434,434,1,,C
V5040,INDICADORA DE FAMÍLIA 1 - Arranjo familiar 0 - Arranjo não familiar Branco,435,435,1,,C
V5090,TIPO DE COMPOSIÇÃO FAMILIAR DAS FAMÍLIAS ÚNICAS E CONVIVENTES PRINCIPAIS 1 - Casal sem filho(s) 2 - Casal sem filho(s) e com parente(s) 3 - Casal com filho(s) 4 - Casal com filho(s) e com parente(s) 5 - Mulher sem cônjuge com filho(s) 6 - Mulher sem cônjuge com filho(s) e com parente(s) 7 - Homem sem cônjuge com filho(s) 8 - Homem sem cônjuge com filho(s) e com parente(s) 9 - Outro Branco,436,436,1,,C
V5100,TIPO DE COMPOSIÇÃO FAMILIAR DAS FAMÍLIAS CONVIVENTES SECUNDÁRIAS 1 - Casal sem filho(s) 2 - Casal com filho(s) 3 - Mulher sem cônjuge com filho(s) Branco,437,437,1,,C
V5130,ORDEM LÓGICA NA FAMÍLIA,438,439,2,,A
M0502,MARCA DE IMPUTAÇÃO NA V0502 1- Sim 2- Não,440,440,1,,C
M0601,MARCA DE IMPUTAÇÃO NA V0601 1- Sim 2- Não,441,441,1,,C
M6033,MARCA DE IMPUTAÇÃO NA V6033 1- Sim 2- Não,442,442,1,,C
M0606,MARCA DE IMPUTAÇÃO NA V0606 1- Sim 2- Não,443,443,1,,C
M0613,MARCA DE IMPUTAÇÃO NA V0613 1- Sim 2- Não,444,444,1,,C
M0614,MARCA DE IMPUTAÇÃO NA V0614 1- Sim 2- Não,445,445,1,,C
M0615,MARCA DE IMPUTAÇÃO NA V0615 1- Sim 2- Não,446,446,1,,C
M0616,MARCA DE IMPUTAÇÃO NA V0616 1- Sim 2- Não,447,447,1,,C
M0617,MARCA DE IMPUTAÇÃO NA V0617 1- Sim 2- Não,448,448,1,,C
M0618,MARCA DE IMPUTAÇÃO NA V0618 1- Sim 2- Não,449,449,1,,C
M0619,MARCA DE IMPUTAÇÃO NA V0619 1- Sim 2- Não,450,450,1,,C
M0620,MARCA DE IMPUTAÇÃO NA V0620 1- Sim 2- Não,451,451,1,,C
M0621,MARCA DE IMPUTAÇÃO NA V0621 1- Sim 2- Não,452,452,1,,C
M0622,MARCA DE IMPUTAÇÃO NA V0622 1- Sim 2- Não,453,453,1,,C
M6222,MARCA DE IMPUTAÇÃO NA V6222 1- Sim 2- Não,454,454,1,,C
M6224,MARCA DE IMPUTAÇÃO NA V6224 1- Sim,455,455,1,,C
M0623,MARCA DE IMPUTAÇÃO NA V0623 1- Sim 2- Não,456,456,1,,C
M0624,MARCA DE IMPUTAÇÃO NA V0624 1- Sim 2- Não,457,457,1,,C
M0625,MARCA DE IMPUTAÇÃO NA V0625 1- Sim 2- Não,458,458,1,,C
M6252,MARCA DE IMPUTAÇÃO NA V6252 1- Sim 2- Não,459,459,1,,C
